product_id,product_name,category,price_per_unit,brand,product_description
121,Milk,Fruits,13.96,BrandC,Description for Milk
122,Rice,Meats,22.56,BrandB,Description for Butter
123,Milk,Dairy,14.39,BrandB,Description for Butter
124,Apple,Fruits,0.93,BrandA,Description for Butter
125,Milk,Dairy,10.27,BrandB,Description for Butter
126,Chicken,Fruits,8.9,BrandE,Description for Chicken
127,Eggs,Grains,6.95,BrandE,Description for Eggs
128,Bread,Meats,17.21,BrandD,Description for Apple
129,Bread,Dairy,9.59,BrandE,Description for Milk
130,Rice,Meats,26.63,BrandD,Description for Butter
131,Butter,Meats,11.11,BrandC,Description for Rice
132,Butter,Dairy,8.51,BrandB,Description for Pasta
133,Cheese,Fruits,3.83,BrandD,Description for Chicken
134,Rice,Fruits,23.98,BrandE,Description for Cheese
135,Eggs,Dairy,14.65,BrandE,Description for Milk
136,Eggs,Fruits,24.08,BrandA,Description for Apple
137,Bread,Grains,7.33,BrandE,Description for Chicken
138,Bread,Grains,25.98,BrandE,Description for Bread
139,Cheese,Meats,10.0,BrandA,Description for Pasta
140,Eggs,Fruits,24.06,BrandD,Description for Rice
141,Butter,Meats,23.36,BrandB,Description for Eggs
142,Bread,Meats,21.76,BrandE,Description for Bread
143,Bread,Meats,9.54,BrandB,Description for Cheese
144,Rice,Meats,13.12,BrandD,Description for Pasta
145,Pasta,Meats,25.36,BrandB,Description for Apple
146,Rice,Fruits,20.37,BrandB,Description for Bread
147,Butter,Dairy,27.56,BrandE,Description for Milk
148,Banana,Fruits,9.32,BrandC,Description for Pasta
149,Rice,Fruits,11.86,BrandB,Description for Apple
150,Butter,Grains,22.39,BrandB,Description for Cheese
151,Cheese,Fruits,27.4,BrandB,Description for Rice
152,Rice,Grains,10.75,BrandE,Description for Apple
153,Milk,Grains,28.11,BrandC,Description for Apple
154,Milk,Dairy,4.41,BrandE,Description for Banana
155,Pasta,Dairy,10.82,BrandC,Description for Chicken
156,Apple,Dairy,8.21,BrandE,Description for Cheese
157,Pasta,Fruits,28.14,BrandC,Description for Eggs
158,Apple,Fruits,5.94,BrandD,Description for Pasta
159,Chicken,Meats,3.68,BrandC,Description for Pasta
160,Banana,Meats,9.95,BrandA,Description for Milk
161,Pasta,Dairy,18.31,BrandC,Description for Milk
162,Cheese,Grains,4.68,BrandC,Description for Bread
163,Chicken,Fruits,9.6,BrandA,Description for Pasta
164,Pasta,Grains,24.69,BrandD,Description for Milk
165,Eggs,Fruits,28.37,BrandD,Description for Milk
166,Bread,Fruits,14.69,BrandA,Description for Rice
167,Apple,Fruits,0.53,BrandC,Description for Chicken
168,Butter,Fruits,8.74,BrandA,Description for Milk
169,Chicken,Fruits,9.94,BrandA,Description for Bread
170,Banana,Fruits,4.11,BrandC,Description for Rice
171,Milk,Grains,2.53,BrandB,Description for Pasta
172,Milk,Fruits,0.71,BrandD,Description for Milk
173,Butter,Meats,15.21,BrandA,Description for Chicken
174,Apple,Dairy,26.24,BrandC,Description for Pasta
175,Eggs,Fruits,20.21,BrandD,Description for Butter
176,Chicken,Grains,17.15,BrandA,Description for Banana
177,Apple,Meats,25.08,BrandE,Description for Cheese
178,Apple,Dairy,20.84,BrandB,Description for Banana
179,Eggs,Grains,27.42,BrandA,Description for Apple
180,Chicken,Grains,4.21,BrandB,Description for Bread
181,Bread,Grains,0.58,BrandB,Description for Bread
182,Banana,Meats,21.5,BrandA,Description for Eggs
183,Rice,Dairy,10.13,BrandC,Description for Butter
184,Apple,Dairy,26.19,BrandE,Description for Pasta
185,Eggs,Fruits,8.37,BrandB,Description for Pasta
186,Eggs,Fruits,22.36,BrandD,Description for Apple
187,Pasta,Grains,19.45,BrandB,Description for Cheese
188,Chicken,Meats,15.42,BrandE,Description for Eggs
189,Apple,Dairy,27.97,BrandB,Description for Rice
190,Banana,Meats,15.07,BrandA,Description for Pasta
191,Milk,Fruits,22.35,BrandD,Description for Rice
192,Butter,Meats,26.46,BrandE,Description for Pasta
193,Bread,Grains,29.67,BrandC,Description for Rice
194,Cheese,Grains,1.38,BrandA,Description for Rice
195,Rice,Dairy,9.9,BrandD,Description for Butter
196,Bread,Grains,16.98,BrandE,Description for Apple
197,Apple,Fruits,22.91,BrandB,Description for Pasta
198,Rice,Fruits,23.8,BrandC,Description for Pasta
199,Pasta,Meats,26.53,BrandD,Description for Chicken
200,Cheese,Grains,19.93,BrandD,Description for Banana
201,Cheese,Grains,6.09,BrandC,Description for Banana
202,Butter,Meats,20.4,BrandA,Description for Rice
203,Pasta,Meats,22.96,BrandB,Description for Pasta
204,Pasta,Dairy,16.45,BrandE,Description for Milk
205,Chicken,Dairy,29.27,BrandA,Description for Chicken
206,Butter,Fruits,13.3,BrandC,Description for Eggs
207,Apple,Fruits,16.45,BrandC,Description for Cheese
208,Rice,Meats,25.68,BrandA,Description for Banana
209,Rice,Meats,18.22,BrandC,Description for Chicken
210,Eggs,Grains,27.8,BrandE,Description for Pasta
211,Chicken,Fruits,10.46,BrandB,Description for Cheese
212,Apple,Fruits,5.25,BrandB,Description for Milk
213,Eggs,Fruits,16.79,BrandC,Description for Chicken
214,Cheese,Grains,9.09,BrandC,Description for Milk
215,Pasta,Meats,26.74,BrandE,Description for Milk
216,Bread,Meats,7.39,BrandB,Description for Banana
217,Cheese,Fruits,5.61,BrandB,Description for Cheese
218,Eggs,Dairy,12.6,BrandB,Description for Chicken
219,Banana,Fruits,17.42,BrandA,Description for Banana
220,Bread,Grains,22.09,BrandD,Description for Eggs
221,Rice,Grains,24.29,BrandD,Description for Chicken
222,Pasta,Grains,10.77,BrandD,Description for Milk
223,Cheese,Meats,12.98,BrandA,Description for Milk
224,Rice,Grains,4.55,BrandC,Description for Pasta
225,Cheese,Meats,3.21,BrandB,Description for Eggs
226,Chicken,Fruits,28.4,BrandA,Description for Pasta
227,Eggs,Meats,18.76,BrandB,Description for Apple
228,Apple,Dairy,4.52,BrandA,Description for Chicken
229,Chicken,Meats,6.64,BrandD,Description for Banana
230,Butter,Grains,2.9,BrandB,Description for Cheese
231,Cheese,Grains,7.15,BrandB,Description for Apple
232,Cheese,Fruits,12.9,BrandB,Description for Pasta
233,Chicken,Grains,24.94,BrandA,Description for Bread
234,Bread,Dairy,21.57,BrandC,Description for Chicken
235,Pasta,Meats,22.77,BrandB,Description for Butter
236,Banana,Meats,8.76,BrandA,Description for Banana
237,Butter,Fruits,23.01,BrandE,Description for Bread
238,Eggs,Grains,19.09,BrandC,Description for Eggs
239,Bread,Dairy,26.04,BrandE,Description for Eggs
240,Pasta,Dairy,18.41,BrandE,Description for Bread
241,Eggs,Dairy,10.61,BrandD,Description for Eggs
242,Eggs,Meats,12.86,BrandB,Description for Eggs
243,Pasta,Dairy,13.57,BrandA,Description for Banana
244,Bread,Fruits,8.98,BrandA,Description for Milk
245,Chicken,Dairy,1.9,BrandA,Description for Chicken
246,Rice,Grains,17.84,BrandE,Description for Apple
247,Pasta,Meats,2.02,BrandD,Description for Bread
248,Rice,Fruits,29.14,BrandC,Description for Milk
249,Cheese,Dairy,16.13,BrandA,Description for Pasta
250,Chicken,Fruits,13.4,BrandE,Description for Banana
251,Butter,Meats,12.56,BrandB,Description for Butter
252,Bread,Fruits,2.94,BrandD,Description for Milk
253,Chicken,Grains,26.05,BrandE,Description for Banana
254,Apple,Grains,8.38,BrandE,Description for Rice
255,Apple,Grains,19.02,BrandE,Description for Rice
256,Bread,Fruits,25.27,BrandC,Description for Apple
257,Banana,Fruits,20.11,BrandA,Description for Rice
258,Banana,Dairy,1.14,BrandA,Description for Pasta
259,Chicken,Fruits,17.57,BrandD,Description for Banana
260,Cheese,Fruits,5.8,BrandA,Description for Chicken
